,time,consumption,cost,electricity_rate,indoor_temp,outdoor_temp
95,2024-12-06 23:30:00+00:00,0.236,5.14,15.111325657886008,18.89673913043478,11.073912703472635
96,2024-12-07 00:00:00+00:00,0.209,4.56,7.408961296081544,18.983173076923077,11.561538292811466
97,2024-12-07 00:30:00+00:00,0.207,4.51,2.7448749020695686,19.0625,11.90666643778483
98,2024-12-07 01:00:00+00:00,0.167,3.64,3.6418199408054353,17.8875,12.281199760437012
99,2024-12-07 01:30:00+00:00,0.147,3.2,2.4889374636113644,17.104166666666668,12.454166571299234
100,2024-12-07 02:00:00+00:00,0.152,3.31,1.9147799479961396,16.82,12.219599800109863
101,2024-12-07 02:30:00+00:00,0.141,3.07,1.591624944160382,16.161458333333332,11.930416584014893
102,2024-12-07 03:00:00+00:00,0.109,2.38,2.799865335226059,15.790865384615385,11.577307627751278
103,2024-12-07 03:30:00+00:00,0.094,2.05,1.612187448889017,15.4609375,11.260416388511658
104,2024-12-07 04:00:00+00:00,0.1,2.18,1.5754199516773224,15.235,11.072399673461915
105,2024-12-07 04:30:00+00:00,0.13,2.83,2.2128749353190265,15.018229166666666,10.87416664759318
106,2024-12-07 05:00:00+00:00,0.138,3.01,1.4615191828746061,14.713942307692308,10.516153665689322
107,2024-12-07 05:30:00+00:00,0.127,2.77,2.208195560652277,14.532608695652174,9.986086969790252
108,2024-12-07 06:00:00+00:00,0.097,2.11,1.033038420172838,14.21875,9.675769108992357
109,2024-12-07 06:30:00+00:00,0.107,2.33,0.9769374703367552,13.8828125,9.511249860127768
110,2024-12-07 07:00:00+00:00,0.11,2.4,1.2135576491172497,13.721153846153847,9.220000156989464
111,2024-12-07 07:30:00+00:00,0.135,2.94,1.1921874545514584,13.6328125,9.117499788602194
112,2024-12-07 08:00:00+00:00,0.136,2.96,1.329299955368042,13.525,8.937599830627441
113,2024-12-07 08:30:00+00:00,0.133,2.9,1.6681874580681324,13.3125,8.335833013057709
114,2024-12-07 09:00:00+00:00,0.108,2.35,1.4473845603374333,12.908653846153847,7.418845910292405
115,2024-12-07 09:30:00+00:00,0.101,2.2,1.3408042969910994,12.57336956521739,6.891304202701734
116,2024-12-07 10:00:00+00:00,0.107,2.33,1.318153793995197,12.439903846153847,6.463076774890606
117,2024-12-07 10:30:00+00:00,0.146,3.18,1.556624948978424,12.348958333333334,6.364166557788849
